"date","price"
"2016-09-17",27.6
"2016-09-18",24.74
"2016-09-19",34.79
"2016-09-20",34.53
"2016-09-21",35.02
"2016-09-22",32.59
"2016-09-23",31.1
"2016-09-24",29.36
"2016-09-25",23.07
"2016-09-26",36.49
"2016-09-27",34.9
"2016-09-28",24.59
"2016-09-29",22.44
"2016-09-30",33.72
"2016-10-01",33.13
"2016-10-02",30.02
"2016-10-03",30.58
"2016-10-04",30.33
"2016-10-05",29.68
"2016-10-06",31.19
"2016-10-07",38.39
"2016-10-08",36.08
"2016-10-09",33.29
"2016-10-10",50.19
"2016-10-11",38.31
"2016-10-12",36.87
"2016-10-13",34.07
"2016-10-14",29.7
"2016-10-15",31.06
"2016-10-16",33.7
"2016-10-17",41.94
"2016-10-18",40.03
"2016-10-19",40.41
"2016-10-20",40.51
"2016-10-21",39.58
"2016-10-22",37.75
"2016-10-23",34.71
"2016-10-24",41.92
"2016-10-25",52.86
"2016-10-26",45.17
"2016-10-27",39.6
"2016-10-28",35.96
"2016-10-29",34.38
"2016-10-30",36.71
"2016-10-31",43.06
"2016-11-01",34.75
"2016-11-02",33.03
"2016-11-03",45.6
"2016-11-04",40.35
"2016-11-05",38.86
"2016-11-06",35.46
"2016-11-07",38.01
"2016-11-08",54.25
"2016-11-09",48.3
"2016-11-10",51.78
"2016-11-11",47.66
"2016-11-12",39.82
"2016-11-13",37.04
"2016-11-14",39.86
"2016-11-15",40.14
"2016-11-16",43.03
"2016-11-17",33.96
"2016-11-18",24.17
"2016-11-19",31.56
"2016-11-20",-0.32
"2016-11-21",33.83
"2016-11-22",38.34
"2016-11-23",45.39
"2016-11-24",39.73
"2016-11-25",42.73
"2016-11-26",38.64
"2016-11-27",31.12
"2016-11-28",40.78
"2016-11-29",42.81
"2016-11-30",36.01
"2016-12-01",27.63
"2016-12-02",38.61
"2016-12-03",40.99
"2016-12-04",38.26
"2016-12-05",48.85
"2016-12-06",58.33
"2016-12-07",37.93
"2016-12-08",30.42
"2016-12-09",35.85
"2016-12-10",32.2
"2016-12-11",28.98
"2016-12-12",47.45
"2016-12-13",49.2
"2016-12-14",60.06
"2016-12-15",49.85
"2016-12-16",53.06
"2016-12-17",46.79
"2016-12-18",43.69
"2016-12-19",57.41
"2016-12-20",48.82
"2016-12-21",40.05
"2016-12-22",45.23
"2016-12-23",38.17
"2016-12-24",8.45
"2016-12-25",-2.7
"2016-12-26",-12.25
"2016-12-27",4.48
"2016-12-28",41.3
"2016-12-29",46.44
"2016-12-30",41.99
"2016-12-31",36.28
"2017-01-01",29.38
"2017-01-02",46.25
"2017-01-03",38.63
"2017-01-04",27.05
"2017-01-05",49.96
"2017-01-06",49.55
"2017-01-07",38.52
"2017-01-08",42.64
"2017-01-09",55.92
"2017-01-10",54.61
"2017-01-11",35.92
"2017-01-12",34.18
"2017-01-13",39.8
"2017-01-14",33.33
"2017-01-15",35.62
"2017-01-16",80.28
"2017-01-17",85.37
"2017-01-18",69.74
"2017-01-19",66.86
"2017-01-20",62.88
"2017-01-21",48.26
"2017-01-22",41.36
"2017-01-23",75.64
"2017-01-24",101.92
"2017-01-25",86.01
"2017-01-26",48.97
"2017-01-27",43.79
"2017-01-28",42.39
"2017-01-29",37.65
"2017-01-30",51.92
"2017-01-31",69.18
"2017-02-01",51.3
"2017-02-02",44.88
"2017-02-03",48.15
"2017-02-04",45.3
"2017-02-05",43.51
"2017-02-06",61.79
"2017-02-07",53.42
"2017-02-08",59.66
"2017-02-09",57.92
"2017-02-10",44.86
"2017-02-11",38.55
"2017-02-12",33.13
"2017-02-13",42.33
"2017-02-14",42.98
"2017-02-15",47.32
"2017-02-16",40.62
"2017-02-17",43.02
"2017-02-18",40.19
"2017-02-19",28.42
"2017-02-20",31.2
"2017-02-21",32.68
"2017-02-22",24.14
"2017-02-23",25.6
"2017-02-24",28.75
"2017-02-25",29.73
"2017-02-26",13.57
"2017-02-27",28.95
"2017-02-28",29.68
"2017-03-01",35.63
"2017-03-02",27.35
"2017-03-03",38.27
"2017-03-04",33.85
"2017-03-05",17.84
"2017-03-06",38.84
"2017-03-07",44.5
"2017-03-08",36.41
"2017-03-09",38.22
"2017-03-10",33.56
"2017-03-11",32.95
"2017-03-12",18.76
"2017-03-13",36.31
"2017-03-14",34.56
"2017-03-15",33.67
"2017-03-16",34.42
"2017-03-17",28.49
"2017-03-18",19.67
"2017-03-19",13.57
"2017-03-20",29.06
"2017-03-21",30.47
"2017-03-22",35.5
"2017-03-23",34.17
"2017-03-24",34.29
"2017-03-25",28.35
"2017-03-26",27.92
"2017-03-27",34.96
"2017-03-28",34.48
"2017-03-29",31.22
"2017-03-30",33.62
"2017-03-31",31.64
"2017-04-01",30.38
"2017-04-02",29.55
"2017-04-03",37.71
"2017-04-04",38.65
"2017-04-05",32.69
"2017-04-06",29.99
"2017-04-07",33.83
"2017-04-08",34.48
"2017-04-09",28.23
"2017-04-10",27.37
"2017-04-11",33.51
"2017-04-12",27.68
"2017-04-13",29.27
"2017-04-14",30.29
"2017-04-15",14.6
"2017-04-16",18.57
"2017-04-17",25.3
"2017-04-18",34.3
"2017-04-19",37.03
"2017-04-20",37.18
"2017-04-21",27.69
"2017-04-22",12.27
"2017-04-23",11.16
"2017-04-24",31.11
"2017-04-25",36.2
"2017-04-26",39.91
"2017-04-27",36.79
"2017-04-28",36.87
"2017-04-29",30.23
"2017-04-30",-6.74
"2017-05-01",-24.27
"2017-05-02",28.87
"2017-05-03",34.49
"2017-05-04",32.78
"2017-05-05",38.05
"2017-05-06",32.78
"2017-05-07",28.05
"2017-05-08",33.51
"2017-05-09",39.76
"2017-05-10",38.83
"2017-05-11",33.93
"2017-05-12",35.62
"2017-05-13",31.99
"2017-05-14",28.03
"2017-05-15",36.43
"2017-05-16",34.23
"2017-05-17",32.52
"2017-05-18",32.74
"2017-05-19",34.47
"2017-05-20",26.47
"2017-05-21",18.78
"2017-05-22",36.05
"2017-05-23",33.47
"2017-05-24",32.22
"2017-05-25",27.9
"2017-05-26",32.52
"2017-05-27",27.02
"2017-05-28",20.36
"2017-05-29",36.91
"2017-05-30",36.84
"2017-05-31",32.96
"2017-06-01",36.26
"2017-06-02",36.45
"2017-06-03",30.5
"2017-06-04",22.76
"2017-06-05",27.96
"2017-06-06",21.53
"2017-06-07",13.31
"2017-06-08",28.79
"2017-06-09",33.38
"2017-06-10",31.03
"2017-06-11",20.91
"2017-06-12",24.69
"2017-06-13",32.75
"2017-06-14",37.42
"2017-06-15",32.19
